RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020
196875,1332,Oakwood,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,577259,579421,578350,577151,574536,574610,574787,575247,574967,572909,571211,570305,570778,570664,572108,574683
20239,1346,Roosevelt Island,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,953760,948564,948336,949611,948077,942128,939210,937091,933841,929854,925960,922380,920252,916935,910685,903519
270888,1376,Mill Basin,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,812479,808155,805706,804905,802477,799393,798159,796773,794704,792653,790643,790624,791509,793186,793775,794607
197599,1405,Rosebank,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,538286,537596,534435,530968,527743,527642,526490,524897,523387,522416,521409,520420,518937,518192,518719,521134
270825,1448,Downtown,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,730539,724026,712348,704382,697937,697651,692747,689170,686467,681140,674975,669250,670818,677494,689347,698276
197427,1449,Red Hook,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,1927211,1912014,1888388,1889183,1887733,1894789,1896890,1890667,1872749,1843734,1816587,1791308,1796376,1804778,1819478,1822051
195067,1455,Graniteville,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,415039,415936,415656,414094,412224,411738,411437,410576,409439,407203,405424,404039,403532,403214,403494,404865
275754,1466,Tottenville,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,621424,622261,621680,618619,615985,613550,613259,612819,613832,612986,612770,611726,611824,611438,612219,615587
198184,1472,Stapleton,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,413425,415797,414692,413302,410820,412328,413444,414285,414945,415586,416116,416390,416129,415174,416200,417432
273749,1487,Forest,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,132000,132137,131835,131706,132597,133654,134347,134876,134699,134710,135038,135970,136741,137680,138604,139387
195511,1491,Huguenot,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,711962,710333,706537,704512,703179,702565,701385,700528,699738,697389,694384,691238,690482,690960,692601,694140
197623,1502,Rossville,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,468712,469701,468220,466574,465085,465250,465736,465698,464919,463210,461987,460865,461024,461032,462233,463901
13356,1523,Pomonok,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,291288,289180,289300,291706,296476,299125,300788,302559,304929,307901,311643,314251,317459,320572,322101,322855
199023,1526,Willowbrook,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,587171,587652,585212,581751,577912,575526,575067,574664,574321,572881,570861,569244,568617,568782,570524,573430
